instruction,input,output,new_output
What was the name of the modular assault rifle that was displayed at the Latin American Air and Space Defence Fair in 2013?,"The latest-developed SCAR series of rifles was displayed at the 2013 Latin American Air and Space Defence Fair by FNstar, which consisted mainly of two highly modular rifles of varying calibres and a low-speed grenade launcher of FN40GL40 mm. The SCAR assault rifle was a modular assault rifle designed and developed by the Belgian company FN Hurstar, in cooperation with the United States Special Operations Command, to meet the competitive demand for combat assault rifles for special combat units. The series had two main models, SCAR-L and SCAR-H, of which SCAR-L assault rifles were capable of firing 5.56 x 45 mm NATO ammunition and SCAR-H fired 7.62 x 51 mm NATO ammunition.",SCAR,SCAR series
What was the name of the low-speed grenade launcher that was displayed at the Latin American Air and Space Defence Fair in 2013?,"The latest-developed SCAR series of rifles was displayed at the 2013 Latin American Air and Space Defence Fair by FNstar, which consisted mainly of two highly modular rifles of varying calibres and a low-speed grenade launcher of FN40GL40 mm. The SCAR assault rifle was a modular assault rifle designed and developed by the Belgian company FN Hurstar, in cooperation with the United States Special Operations Command, to meet the competitive demand for combat assault rifles for special combat units. The series had two main models, SCAR-L and SCAR-H, of which SCAR-L assault rifles were capable of firing 5.56 x 45 mm NATO ammunition and SCAR-H fired 7.62 x 51 mm NATO ammunition.",SCAR,FN40GL40 mm
Indian naval officials have indicated that India is considering introducing what?,Indian naval officials have indicated that India is currently considering introducing precision in-board radars to help fixed-wing aircraft and helicopters land on board their carriers. The Indian navy has issued an information request and awaits a response from a global supplier.,precision in-board radars,precision in-board radars
India is considering introducing what to help fixed-wing aircraft and helicopters land on their carriers?,Indian naval officials have indicated that India is currently considering introducing precision in-board radars to help fixed-wing aircraft and helicopters land on board their carriers. The Indian navy has issued an information request and awaits a response from a global supplier.,precision in-board radars,in-board radars
The Indian navy has issued an information request and awaits a response from a global supplier?,Indian naval officials have indicated that India is currently considering introducing precision in-board radars to help fixed-wing aircraft and helicopters land on board their carriers. The Indian navy has issued an information request and awaits a response from a global supplier.,precision in-board radars,yes
When did the Dutch Prime Minister and his wife name the second amphibious landing ship Johan de Witt?,"On May 13, 2006, the Dutch Prime Minister and his wife named the second amphibious landing ship Johan de Witt., based on the design of the Dutch Navy ' s Rotterdam, 176.35 metres long, 2.20 metres wide, about 45 metres high. The ship was built by the Royal Dutch Schelde Shipyard to support the Dutch Navy, and was primarily dedicated to amphibious combat, providing amphibious transport capacity and commando facilities.","May 13, 2006","May 13, 2006"
What was the design of the second amphibious landing ship Johan de Witt based on?,"On May 13, 2006, the Dutch Prime Minister and his wife named the second amphibious landing ship Johan de Witt., based on the design of the Dutch Navy ' s Rotterdam, 176.35 metres long, 2.20 metres wide, about 45 metres high. The ship was built by the Royal Dutch Schelde Shipyard to support the Dutch Navy, and was primarily dedicated to amphibious combat, providing amphibious transport capacity and commando facilities.","May 13, 2006",the Dutch Navy ' s Rotterdam
Who built the second amphibious landing ship Johan de Witt?,"On May 13, 2006, the Dutch Prime Minister and his wife named the second amphibious landing ship Johan de Witt., based on the design of the Dutch Navy ' s Rotterdam, 176.35 metres long, 2.20 metres wide, about 45 metres high. The ship was built by the Royal Dutch Schelde Shipyard to support the Dutch Navy, and was primarily dedicated to amphibious combat, providing amphibious transport capacity and commando facilities.","May 13, 2006",Royal Dutch Schelde Shipyard
What was the purpose of the second amphibious landing ship Johan de Witt?,"On May 13, 2006, the Dutch Prime Minister and his wife named the second amphibious landing ship Johan de Witt., based on the design of the Dutch Navy ' s Rotterdam, 176.35 metres long, 2.20 metres wide, about 45 metres high. The ship was built by the Royal Dutch Schelde Shipyard to support the Dutch Navy, and was primarily dedicated to amphibious combat, providing amphibious transport capacity and commando facilities.","May 13, 2006",amphibious combat
What was the value of the contract for nuclear propulsion components?,"In a statement issued on 7 November 2017, the United States Department of Defense stated that the Packard Mechanical Processing Plant had received a single-source contract for the supply of nuclear propulsion components to the United States Navy, valued at nearly 230 million dollars at a cost plus fixed cost. The statement stated that the Packard Mechanical Processing Plant would carry out work related to the Navy’s nuclear propulsion programme in Monroeville, Pennsylvania, and in Skeketati, New York. But the statement did not provide an expected date for the project’s completion.",230 million dollars,nearly 230 million dollars
